action,curr_lane,free_E,free_NE,free_NW,free_SE,free_SW,free_W,orig_label_lc,latent_collision,iaction,probability,elapsed_time,group_id,ranking,frequency,potential_crash_before_intervention,potential_crash_after_intervention,best_intervention
change_to_left,False,False,False,False,True,True,True,True,True,change_to_left,1,2.58313584327698,24,4,NA,True,True,
change_to_right,False,False,False,True,False,False,False,True,True,cruise,0.5,2.60777187347412,25,1,2500,True,False,*
change_to_right,False,False,False,True,False,False,False,True,True,keep,0.5,2.58887410163879,25,1,2500,True,False,
change_to_right,False,False,False,True,False,False,False,True,True,swerve_left,0.5,2.58377480506897,25,1,2500,True,False,
change_to_right,False,False,False,True,False,False,False,True,True,swerve_right,0.5,2.5846734046936,25,1,2500,True,False,
change_to_right,False,False,False,True,False,False,False,True,True,change_to_left,0.999001,2.59381461143494,25,2,NA,True,True,
change_to_right,False,False,False,True,False,False,False,True,True,change_to_right,1,2.60599184036255,25,3,NA,True,True,
change_to_left,False,False,False,True,False,False,False,True,True,cruise,0.5,2.57560753822327,26,1,2500,True,False,
change_to_left,False,False,False,True,False,False,False,True,True,keep,0.5,2.56876015663147,26,1,2500,True,False,
change_to_left,False,False,False,True,False,False,False,True,True,swerve_left,0.5,2.59389472007751,26,1,2500,True,False,
change_to_left,False,False,False,True,False,False,False,True,True,swerve_right,0.5,2.57516527175903,26,1,2500,True,False,*
change_to_left,False,False,False,True,False,False,False,True,True,change_to_right,0.999001,2.58882904052734,26,2,NA,True,True,
change_to_left,False,False,False,True,False,False,False,True,True,change_to_left,1,2.58847522735596,26,3,NA,True,True,
change_to_right,False,False,False,True,False,False,True,True,True,cruise,0.000999,2.58077907562256,27,1,2500,True,False,
change_to_right,False,False,False,True,False,False,True,True,True,keep,0.000999,2.60779976844788,27,1,2500,True,False,*
change_to_right,False,False,False,True,False,False,True,True,True,swerve_left,0.000999,2.5740921497345,27,1,2500,True,False,
change_to_right,False,False,False,True,False,False,True,True,True,swerve_right,0.5,2.58800506591797,27,2,NA,True,False,
change_to_right,False,False,False,True,False,False,True,True,True,change_to_left,0.999001,2.59167456626892,27,3,NA,True,True,
change_to_right,False,False,False,True,False,False,True,True,True,change_to_right,1,2.58768153190613,27,4,NA,True,True,
change_to_left,False,False,False,True,False,False,True,True,True,cruise,0.000999,2.59315943717957,28,1,2501,True,False,
change_to_left,False,False,False,True,False,False,True,True,True,keep,0.000999,2.58933806419373,28,1,2501,True,False,
change_to_left,False,False,False,True,False,False,True,True,True,swerve_left,0.000999,2.58777523040772,28,1,2501,True,False,*
change_to_left,False,False,False,True,False,False,True,True,True,swerve_right,0.5,2.57961654663086,28,2,NA,True,False,
change_to_left,False,False,False,True,False,False,True,True,True,change_to_right,0.999001,2.61654496192932,28,3,NA,True,True,
change_to_left,False,False,False,True,False,False,True,True,True,change_to_left,1,2.58849430084229,28,4,NA,True,True,
change_to_right,False,False,False,True,False,True,False,True,True,cruise,0.5,2.58820819854736,29,1,2500,True,False,
change_to_right,False,False,False,True,False,True,False,True,True,keep,0.5,2.57296419143677,29,1,2500,True,False,*
change_to_right,False,False,False,True,False,True,False,True,True,swerve_left,0.5,2.60866618156433,29,1,2500,True,False,
change_to_right,False,False,False,True,False,True,False,True,True,swerve_right,0.5,2.60024333000183,29,1,2500,True,False,
change_to_right,False,False,False,True,False,True,False,True,True,change_to_left,0.999001,2.59506821632385,29,2,NA,True,True,
change_to_right,False,False,False,True,False,True,False,True,True,change_to_right,1,2.59285259246826,29,3,NA,True,True,
change_to_left,False,False,False,True,False,True,False,True,True,cruise,0.5,2.61141848564148,30,1,2500,True,False,
change_to_left,False,False,False,True,False,True,False,True,True,keep,0.5,2.58383393287659,30,1,2500,True,False,
change_to_left,False,False,False,True,False,True,False,True,True,swerve_left,0.5,2.61081314086914,30,1,2500,True,False,*
change_to_left,False,False,False,True,False,True,False,True,True,swerve_right,0.5,2.5891809463501,30,1,2500,True,False,
change_to_left,False,False,False,True,False,True,False,True,True,change_to_right,0.999001,2.58722567558289,30,2,NA,True,True,
change_to_left,False,False,False,True,False,True,False,True,True,change_to_left,1,2.62531805038452,30,3,NA,True,True,
change_to_right,False,False,False,True,False,True,True,True,True,cruise,0.000999,2.58691191673279,31,1,2502,True,False,*
change_to_right,False,False,False,True,False,True,True,True,True,keep,0.000999,2.57459139823914,31,1,2502,True,False,
change_to_right,False,False,False,True,False,True,True,True,True,swerve_left,0.000999,2.57454609870911,31,1,2502,True,False,
change_to_right,False,False,False,True,False,True,True,True,True,swerve_right,0.5,2.59025883674622,31,2,NA,True,False,
change_to_right,False,False,False,True,False,True,True,True,True,change_to_left,0.999001,2.59875583648682,31,3,NA,True,True,
change_to_right,False,False,False,True,False,True,True,True,True,change_to_right,1,2.58581733703613,31,4,NA,True,True,
change_to_left,False,False,False,True,False,True,True,True,True,cruise,0.000999,2.5951623916626,32,1,2765,True,False,
change_to_left,False,False,False,True,False,True,True,True,True,keep,0.000999,2.58711099624634,32,1,2765,True,False,*
change_to_left,False,False,False,True,False,True,True,True,True,swerve_left,0.000999,2.59686994552612,32,1,2765,True,False,
change_to_left,False,False,False,True,False,True,True,True,True,swerve_right,0.5,2.58696889877319,32,2,NA,True,False,
change_to_left,False,False,False,True,False,True,True,True,True,change_to_right,0.999001,2.58812642097473,32,3,NA,True,True,
change_to_left,False,False,False,True,False,True,True,True,True,change_to_left,1,2.59315776824951,32,4,NA,True,True,
change_to_right,False,False,False,True,True,False,False,True,True,cruise,0.5,2.6136155128479,33,1,2500,True,False,
change_to_right,False,False,False,True,True,False,False,True,True,keep,0.5,2.60501646995544,33,1,2500,True,False,
change_to_right,False,False,False,True,True,False,False,True,True,swerve_left,0.5,2.61883068084717,33,1,2500,True,False,*
change_to_right,False,False,False,True,True,False,False,True,True,swerve_right,0.5,2.63450598716736,33,1,2500,True,False,
change_to_right,False,False,False,True,True,False,False,True,True,change_to_left,0.999001,2.6139760017395,33,2,NA,True,True,
change_to_right,False,False,False,True,True,False,False,True,True,change_to_right,1,2.61783385276794,33,3,NA,True,True,
change_to_left,False,False,False,True,True,False,False,True,True,cruise,0.5,2.56732726097107,34,1,2500,True,False,
change_to_left,False,False,False,True,True,False,False,True,True,keep,0.5,2.58303093910217,34,1,2500,True,False,
change_to_left,False,False,False,True,True,False,False,True,True,swerve_left,0.5,2.58924984931946,34,1,2500,True,False,
change_to_left,False,False,False,True,True,False,False,True,True,swerve_right,0.5,2.61112666130066,34,1,2500,True,False,*
change_to_left,False,False,False,True,True,False,False,True,True,change_to_right,0.999001,2.61189222335815,34,2,NA,True,True,
change_to_left,False,False,False,True,True,False,False,True,True,change_to_left,1,2.58492207527161,34,3,NA,True,True,
change_to_right,False,False,False,True,True,False,True,True,True,cruise,0.000999,2.59333324432373,35,1,2500,True,False,
change_to_right,False,False,False,True,True,False,True,True,True,keep,0.000999,2.57636451721191,35,1,2500,True,False,*
change_to_right,False,False,False,True,True,False,True,True,True,swerve_left,0.000999,2.598628282547,35,1,2500,True,False,
change_to_right,False,False,False,True,True,False,True,True,True,swerve_right,0.5,2.58063912391663,35,2,NA,True,False,
change_to_right,False,False,False,True,True,False,True,True,True,change_to_left,0.999001,2.58940815925598,35,3,NA,True,True,
change_to_right,False,False,False,True,True,False,True,True,True,change_to_right,1,2.58551120758057,35,4,NA,True,True,
change_to_left,False,False,False,True,True,False,True,True,True,cruise,0.000999,2.59647345542908,36,1,2724,True,False,
change_to_left,False,False,False,True,True,False,True,True,True,keep,0.000999,2.59225273132324,36,1,2724,True,False,*
change_to_left,False,False,False,True,True,False,True,True,True,swerve_left,0.000999,2.57890272140503,36,1,2724,True,False,
change_to_left,False,False,False,True,True,False,True,True,True,swerve_right,0.5,2.5790228843689,36,2,NA,True,False,
change_to_left,False,False,False,True,True,False,True,True,True,change_to_right,0.999001,2.5792133808136,36,3,NA,True,True,
change_to_left,False,False,False,True,True,False,True,True,True,change_to_left,1,2.60248494148254,36,4,NA,True,True,
change_to_right,False,False,False,True,True,True,False,True,True,cruise,0.5,2.58402180671692,37,1,2500,True,False,
change_to_right,False,False,False,True,True,True,False,True,True,keep,0.5,2.58042001724243,37,1,2500,True,False,
change_to_right,False,False,False,True,True,True,False,True,True,swerve_left,0.5,2.60726761817932,37,1,2500,True,False,*
change_to_right,False,False,False,True,True,True,False,True,True,swerve_right,0.5,2.58014106750488,37,1,2500,True,False,
change_to_right,False,False,False,True,True,True,False,True,True,change_to_left,0.999001,2.58576941490173,37,2,NA,True,True,
change_to_right,False,False,False,True,True,True,False,True,True,change_to_right,1,2.58979153633118,37,3,NA,True,True,
change_to_left,False,False,False,True,True,True,False,True,True,cruise,0.5,2.58833599090576,38,1,2500,True,False,
change_to_left,False,False,False,True,True,True,False,True,True,keep,0.5,2.57892608642578,38,1,2500,True,False,*
